id,name,country,primary_subfield,total_publications,Artificial Intelligence,Computational Theory and Mathematics,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Science Applications,Computer Vision and Pattern Recognition,Hardware and Architecture,Human-Computer Interaction,Information Systems,Signal Processing,Software
A5024099526,Henrique Seffrin,BR,Artificial Intelligence,3,3,0,0,0,0,0,0,0,0,0,0
A5017238021,Luı́s Gouveia,PT,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5083259416,Fernando Chaves Benbassat,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5097702184,L.H.G. Patire,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5076982222,Davi da Silva Böger,,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5051004132,Marcos Vinícius Eloy Xavier,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5076994180,Mayra Dell'Isola Noronha,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5085142549,Ramon Vieira,BR,Artificial Intelligence,2,2,0,0,0,0,0,0,0,0,0,0
A5023057939,Bortik Bandyopadhyay,US,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5016763384,Tadeu Abreu Cerqueira,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5084046474,Antonio J.L. Batista,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5016002720,Fernanda Silva Lourenço,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5067579569,Fernando F. Alkmim,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5057746583,Marco Antônio Thoaldo Romeiro,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5112342230,Aloysio de Castro Pinto Pedroza,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5078376002,Daily Daleno de O. Rodrigues,BR,Computer Vision and Pattern Recognition,2,0,0,0,0,0,2,0,0,0,0,0
A5076352840,Anderson G. Fontoura,BR,Computer Vision and Pattern Recognition,2,0,0,0,0,0,2,0,0,0,0,0
A5054836243,Luiz Sérgio P. Silva,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5082882625,Damares C. O. de Resende,,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5085977480,Francisco Gerardo Medeiros Neto,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5078067407,Machado Marcella Gabrielle Mendes,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5059088808,Yamasaki Paulo Renato,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5035807498,Santos Jean Leandro dos,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5077749895,Chin Chung Man,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5073578299,Mariana de Azevedo Santos,BR,Information Systems,2,0,0,0,0,0,0,0,0,2,0,0
A5110664694,Jardel Silveira,BR,Computer Networks and Communications,2,0,0,0,2,0,0,0,0,0,0,0
A5011133305,Lucas Brahm,BR,Computer Networks and Communications,3,0,0,0,3,0,0,0,0,0,0,0
A5033890122,Jorge Soto Leon,PE,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5002002590,Carlos Silva-Cárdenas,PE,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5047132700,Ernesto Cristopher Villegas Castillo,BR,Signal Processing,2,0,0,0,1,0,0,0,0,0,1,0
A5067388470,Branchini Rodrigo,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5081567647,Luiz Kawakami,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5043128742,Yudai Yuguchi,JP,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5034998617,Warley F. R. Ribeiro,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5041440352,Kenji Nagaoka,JP,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5023419492,Kazuya Yoshida,JP,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5017303623,Marcia B. Campos,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5001127915,Stephanie Orlando,AU,Information Systems,2,0,0,0,0,0,0,0,0,2,0,0
A5005479023,Josenei de Oliveira Teixeira,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5043429131,Fernando de Lucca Siqueira,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5012804550,John Carranza,AU,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5110538153,Jose Barbosa,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5083939454,Vanessa Cristina Caetano Couto,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5030337292,Kerenn Aquilla Vitor,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5090008052,Maria das Graças Oliveira,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5064894597,Poliana Lucio Lacerda Pinheiro,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5045976040,Vilma Elenice Contatto Rossi,BR,Information Systems,2,0,0,0,0,0,0,0,0,2,0,0
A5104041237,Erika S. Albuquerque,BR,Computer Vision and Pattern Recognition,2,0,0,0,0,0,2,0,0,0,0,0
A5084377916,Joao G. M. Silva,BR,Artificial Intelligence,5,3,0,0,0,0,2,0,0,0,0,0
A5081325072,Renato L. M. Carlos,BR,Computer Vision and Pattern Recognition,2,0,0,0,0,0,2,0,0,0,0,0
A5055972545,Djeefther S. Albuquerque,BR,Computer Vision and Pattern Recognition,2,0,0,0,0,0,2,0,0,0,0,0
A5059699505,Josnei Novacoski,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5033247609,Mark Spivakovsky,FR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5050698035,Ederson Silveira,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5018912271,Luiz Rodrigo Jardim Da Silva,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5015793751,Reyna Rivera Morales,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5059255777,Alejandro López Ibarra,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
